ID;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;49
27;1,000;1,000;0,889;1,000;1,000;1,000;1,000;1,000;1,000;;;;;1,000;1,000;1,000;1,000;0,667;;1,000;1,000
28;;1,000;1,000;1,000;1,000;0,800;1,000;1,000;1,000;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000
29;;;1,000;1,000;0,800;0,800;1,000;1,000;1,000;;;;;1,000;1,000;1,000;1,000;1,000;0,000;1,000;1,000
30;;;;1,000;1,000;0,800;1,000;1,000;0,800;;;;;1,000;1,000;1,000;1,000;0,889;0,000;1,000;1,000
31;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;;;1,000
32;;;;;;1,000;1,000;1,000;1,000;0,500;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;;;1,000
33;;;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;0,800;;;1,000
34;;;;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;;;1,000
35;;;;;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;;;1,000
36;;;;;;;;;;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;;;1,000
37;;;;;;;;;;;0,833;1,000;0,833;;;;;1,000;1,000;;
38;;;;;;;;;;;;1,000;1,000;;;;;0,800;1,000;;
39;;;;;;;;;;;;;1,000;;;;;0,800;1,000;;
40;;;;;;;;;;;;;;;;;;1,000;1,000;;
41;;;;;;;;;;;;;;;1,000;1,000;1,000;1,000;;;1,000
42;;;;;;;;;;;;;;;;1,000;0,500;1,000;;;1,000
43;;;;;;;;;;;;;;;;;1,000;1,000;;;1,000
44;;;;;;;;;;;;;;;;;;1,000;;;1,000
45;;;;;;;;;;;;;;;;;;;;;1,000
